states,x,y
Andhra Pradesh,-60.0 ,-107.0
Arunachal Pradesh,196.0 ,115.0
Assam,174.0, 83.0
Bihar,48.0 ,64.0
Chhattisgarh,-11.0 ,-2.0
Goa,-145.0 ,-97.0
Gujarat,-195.0 ,28.0
Haryana,-105.0 ,118.0
Himachal Pradesh,-91.0 ,170.0
Jharkhand,31.0 ,37.0
Karnataka,-113.0 ,-105.0
Kerala,-107.0 ,-173.0
Maharashtra,-151.0 ,-32.0
Madhya Pradesh,-106.0 ,21.0
Manipur,187.0 ,58.0
Meghalaya,121.0 ,67.0
Mizoram,173.0 ,27.0
Nagaland,194.0 ,76.0
Odisha,35.0 ,-19.0
Punjab,-127.0 ,148.0
Rajasthan,-183.0 ,79.0
Sikkim,97.0 ,95.0
Tamil Nadu,-79.0 ,-165.0
Tripura,157.0 ,40.0
Telangana,-76.0 ,-61.0
Uttar Pradesh,-74.0 ,91.0
Uttarakhand,-67.0 ,136.0
West Bengal,79.0 ,24.0
Andaman & Nicobar,192.0 ,-132.0
Dadra & Nagar Haveli,-188.0 ,-8.0
Daman & Diu,-163.0 ,-17.0
Delhi,-90.0 ,110.0
Jammu & Kashmir,-139.0 ,184.0
Ladakh,-97.0 ,207.0
Lakshadweep,-179.0 ,-166.0
Puducherry,-45.0 ,-154.0
Chandigarh,-123.0 ,156.0